Model,Precision,Recall,F1,PR-AUC,ROC-AUC,TestPrecision,TestRecall,TestF1,TestPR-AUC,TestROC-AUC
LightGBM,0.648590021691974,0.7382716049382716,0.6905311778290993,0.7536252535473275,0.9496244056104707,0.6386554621848739,0.7524752475247525,0.6909090909090909,0.7643611523595142,0.9533058810468202
XGBoost,0.6698113207547169,0.7012345679012346,0.6851628468033776,0.7482182339796669,0.9466300355925643,,,,,
Logistic Regression,0.6378132118451025,0.691358024691358,0.6635071090047393,0.7111057788333321,0.9450326186497484,,,,,
Random Forest,0.6355140186915887,0.671604938271605,0.6530612244897959,0.6918425485067464,0.9443333553623297,,,,,
