Model,CV_PR_AUC,CV_Threshold_F1,CV_Threshold_Precision,CV_Threshold_Recall,Train_Precision,Train_Recall,Train_F1,Train_PR_AUC,Train_ROC_AUC,Test_Precision,Test_Recall,Test_F1,Test_PR_AUC,Test_ROC_AUC,BestThreshold,F1_Gap
CatBoost,0.7395354232944047,0.7043580683156655,0.6734234234234234,0.7382716049382716,0.9902200488997555,1.0,0.995085995085995,1.0,1.0,0.7256637168141593,0.8118811881188119,0.7663551401869159,0.8377773974837028,0.978835498228722,0.5750000000000004,0.22873085489907918
LightGBM,0.7473853903369317,0.6995614035087719,0.6291913214990138,0.7876543209876543,0.8385093167701864,1.0,0.9121621621621622,0.999895798353843,0.9999893002017227,0.6412213740458015,0.8316831683168316,0.7241379310344828,0.835503293941729,0.9780280780371614,0.49500000000000033,0.1880242311276794
XGBoost,0.7380203314822459,0.6935483870967742,0.6501079913606912,0.7432098765432099,0.9246575342465754,1.0,0.9608540925266904,1.0,1.0,0.6949152542372882,0.8118811881188119,0.7488584474885844,0.8313898238655636,0.9745965422230296,0.5750000000000004,0.21199564503810597
Random Forest,0.7056314199111812,0.6779661016949152,0.665083135391924,0.691358024691358,0.7379310344827587,0.7925925925925926,0.7642857142857142,0.8315529511172931,0.974328036933186,0.6788990825688074,0.7326732673267327,0.7047619047619048,0.8008620759483686,0.9727293830300462,0.6550000000000005,0.05952380952380942
Logistic Regression,0.7174808410777592,0.6697566628041715,0.631004366812227,0.7135802469135802,0.6397379912663755,0.7234567901234568,0.6790266512166859,0.7437197350402565,0.9558368973102594,0.6583333333333333,0.7821782178217822,0.7149321266968326,0.7933956877119865,0.9662700214975626,0.7050000000000005,-0.035905475480146665
